author,year,covidence_id,hyperactive,hypoactive,mixed,nosubtype,combo_hypomix,combo_hypermix,factor_category,factor,factor_details,test_used,test_subscale,data_type,direction,cont_units,test_cutoff,cutoff_notes,categorical_notes,N_with_condition,N_without_condition,percentage_with_condition,N_total,N_notes,average_type,average,variance_type,variance,range_type,range_ll,range_ul
Chong,2015,3349,1,,,,,,comorbidity,dementia,,"A diagnosis of dementia was made during the current admission if a reliable corroborative history suggested the presence of cognitive symptoms consistent with DSM-IV criteria for dementia (American Psychiatric Association, 1994), in accordance with the standardized process for cognitive evaluation (Chong and Sahadevan, 2003)",,cat,,,presence,,,90,,,121,,,,,,,,
Chong,2015,3349,,,1,,,,comorbidity,dementia,,"A diagnosis of dementia was made during the current admission if a reliable corroborative history suggested the presence of cognitive symptoms consistent with DSM-IV criteria for dementia (American Psychiatric Association, 1994), in accordance with the standardized process for cognitive evaluation (Chong and Sahadevan, 2003)",,cat,,,presence,,,51,,,67,,,,,,,,
Chong,2015,3349,,1,,,,,comorbidity,dementia,,"A diagnosis of dementia was made during the current admission if a reliable corroborative history suggested the presence of cognitive symptoms consistent with DSM-IV criteria for dementia (American Psychiatric Association, 1994), in accordance with the standardized process for cognitive evaluation (Chong and Sahadevan, 2003)",,cat,,,presence,,,33,,,46,,,,,,,,
Chong,2013,3346,1,,,,,,,age,,,,cont,,years,,,,,,,117,,mean,83.6,SD,7.5,,,
Chong,2013,3346,1,,,,,,,sex,,,,cat,,,male,,,,,42.7,117,,,,,,,,
Chong,2013,3346,1,,,,,,race,chinese,,,,cat,,,presence,,,,,93.2,117,,,,,,,,
Chong,2013,3346,1,,,,,,risk score,charlson,,Charlson Comorbidity Index,,cont,,,score,,,,,,117,,mean,1.9,SD,1.3,,,
Chong,2013,3346,1,,,,,,,severity of illness,,Severity of Illness Index,,cont,,,score,,,,,,117,,mean,2.1,SD,0.2,,,
Chong,2013,3346,1,,,,,,comorbidity,dementia,prior dementia diagnosis,,,cat,,,presence,,,,,44.4,117,,,,,,,,
Chong,2013,3346,1,,,,,,,behavioural issues,prior behavioural issues before admission,,,cat,,,presence,,,,,27.4,117,,,,,,,,
Chong,2013,3346,,1,,,,,,age,,,,cont,,years,,,,,,,42,,mean,84.9,SD,7.8,,,
Chong,2013,3346,,1,,,,,,sex,,,,cat,,,male,,,,,47.6,42,,,,,,,,
Chong,2013,3346,,1,,,,,race,chinese,,,,cat,,,presence,,,,,80.9,42,,,,,,,,
Chong,2013,3346,,1,,,,,risk score,charlson,,Charlson Comorbidity Index,,cont,,,score,,,,,,42,,mean,2.9,SD,2.2,,,
Chong,2013,3346,,1,,,,,,severity of illness,,Severity of Illness Index,,cont,,,score,,,,,,42,,mean,2,SD,0.3,,,
Chong,2013,3346,,1,,,,,comorbidity,dementia,prior dementia diagnosis,,,cat,,,presence,,,,,45.2,42,,,,,,,,
Chong,2013,3346,,1,,,,,,behavioural issues,prior behavioural issues before admission,,,cat,,,presence,,,,,9.8,42,,,,,,,,
Chong,2013,3346,,,1,,,,,age,,,,cont,,years,,,,,,,69,,mean,84.7,SD,6.9,,,
Chong,2013,3346,,,1,,,,,sex,,,,cat,,,male,,,,,42,69,,,,,,,,
Chong,2013,3346,,,1,,,,race,chinese,,,,cat,,,presence,,,,,84.1,69,,,,,,,,
Chong,2013,3346,,,1,,,,risk score,charlson,,Charlson Comorbidity Index,,cont,,,score,,,,,,69,,mean,2.5,SD,1.6,,,
Chong,2013,3346,,,1,,,,,severity of illness,,Severity of Illness Index,,cont,,,score,,,,,,69,,mean,2,SD,0.4,,,
Chong,2013,3346,,,1,,,,comorbidity,dementia,prior dementia diagnosis,,,cat,,,presence,,,,,49.3,69,,,,,,,,
Chong,2013,3346,,,1,,,,,behavioural issues,prior behavioural issues before admission,,,cat,,,presence,,,,,30.4,69,,,,,,,,
Daly,2018,2951,,,,1,,,,age,,,,cont,,years,,,,,,,104,,mean,79.8,SD,8.1,,,
Daly,2018,2951,,,,1,,,,sex,,,,cat,,,male,,,50,,,104,,,,,,,,
Daly,2018,2951,,,,1,,,comorbidity,dementia,,clear history of documented DSMIV dementia (based on all available information at the time of assessment including clinical case notes and collateral history from family and/or carers) or a short Informant Questionnaire on Cognitive Decline in the elderly (IQCODE) score of ≥3.5.,,cat,,,presence,,,19,,,104,,,,,,,,
Daly,2018,2951,1,,,,,,,age,,,,cont,,years,,,,,,,41,,mean,79.1,SD,7.2,,,
Daly,2018,2951,1,,,,,,,sex,,,,cat,,,male,,,24,,,41,,,,,,,,
Daly,2018,2951,1,,,,,,comorbidity,dementia,,clear history of documented DSMIV dementia (based on all available information at the time of assessment including clinical case notes and collateral history from family and/or carers) or a short Informant Questionnaire on Cognitive Decline in the elderly (IQCODE) score of ≥3.5.,,cat,,,presence,,,19,,,41,,,,,,,,
Daly,2018,2951,,,1,,,,,age,,,,cont,,years,,,,,,,16,,mean,80.5,SD,8,,,
Daly,2018,2951,,,1,,,,,sex,,,,cat,,,male,,,8,,,16,,,,,,,,
Daly,2018,2951,,,1,,,,comorbidity,dementia,,clear history of documented DSMIV dementia (based on all available information at the time of assessment including clinical case notes and collateral history from family and/or carers) or a short Informant Questionnaire on Cognitive Decline in the elderly (IQCODE) score of ≥3.5.,,cat,,,presence,,,9,,,16,,,,,,,,
Daly,2018,2951,,1,,,,,,age,,,,cont,,years,,,,,,,38,,mean,76.6,SD,9.4,,,
Daly,2018,2951,,1,,,,,,sex,,,,cat,,,male,,,19,,,38,,,,,,,,
Daly,2018,2951,,1,,,,,comorbidity,dementia,,clear history of documented DSMIV dementia (based on all available information at the time of assessment including clinical case notes and collateral history from family and/or carers) or a short Informant Questionnaire on Cognitive Decline in the elderly (IQCODE) score of ≥3.5.,,cat,,,presence,,,19,,,38,,,,,,,,
DeCrane,2012,3535,,1,,,,,medicine,N medications,,mean number of medications in the patient medication administration record (MAR) at the time of the baseline assessment for recruitment into the study,,cont,,number,,,,,,,33,,mean,15.39,SD,6.123,,,
DeCrane,2012,3535,,1,,,,,,functional status,used at baseline (somewhat unclear if pre delirium),Functional Independence Measire (FIM),,cont,positive,score,,,,,,,33,,mean,82.09,SD,23.933,,,
DeCrane,2012,3535,1,,,,,,medicine,N medications,,mean number of medications in the patient medication administration record (MAR) at the time of the baseline assessment for recruitment into the study,,cont,,number,,,,,,,14,,mean,10,SD,4.057,,,
DeCrane,2012,3535,1,,,,,,,functional status,used at baseline (somewhat unclear if pre delirium),Functional Independence Measire (FIM),,cont,positive,score,,,,,,,14,,mean,84.79,SD,21.829,,,
DeCrane,2012,3535,,,1,,,,medicine,N medications,,mean number of medications in the patient medication administration record (MAR) at the time of the baseline assessment for recruitment into the study,,cont,,number,,,,,,,23,,mean,13.09,SD,5.418,,,
DeCrane,2012,3535,,,1,,,,,functional status,used at baseline (somewhat unclear if pre delirium),Functional Independence Measire (FIM),,cont,positive,score,,,,,,,23,,mean,88.7,SD,20.594,,,
Eriksson,2002,2972,1,,,,,,,age,,,,cont,,years,,,,,,,5,,mean,73.6,SD,4,,,
Eriksson,2002,2972,1,,,,,,,sex,,,,cat,,,male,,,3,,,5,,,,,,,,
Eriksson,2002,2972,,1,,,,,,age,,,,cont,,years,,,,,,,6,,mean,71.2,SD,4.3,,,
Eriksson,2002,2972,,1,,,,,,sex,,,,cat,,,male,,,4,,,6,,,,,,,,
Eriksson,2002,2972,,,1,,,,,age,,,,cont,,years,,,,,,,1,,mean,75,SD,0,,,
Eriksson,2002,2972,,,1,,,,,sex,,,,cat,,,male,,,1,,,1,,,,,,,,
Evensen,2019b,2953,,,,1,,,,age,,,,cont,,years,,,,,,,12,,mean,86.3,SD,5.3,,,
Evensen,2019b,2953,,,,1,,,,BMI,,,,cont,,kg/m^2,,,,,,,12,,mean,22.2,SD,5.1,,,
Evensen,2019b,2953,,,,1,,,,cognition,"1 to 7. increasing score indicating more severe
cognitive impairment",Global Deterioration Scale,,cont,,score,,,,,,,12,,mean,3.8,SD,1,,,
Evensen,2019b,2953,,,,1,,,comorbidity,CIRS,0 to 56. Higher score = higher comorbidity,Cumulative Illness Rating Scale,,cont,,score,,,,,,,12,,mean,13.8,SD,5.3,,,
Evensen,2019b,2953,,,,1,,,risk score,APACHE II,"0 to 71.  measure of level of acute illness (0–71, increasing score indicating
more severe illness) ",APACHE II,,cont,,score,,,,,,,12,,mean,9.5,SD,2.1,,,
Evensen,2019b,2953,,,,1,,,functional status,ADL,p-ADL function (0 to 20). pre-hospital functioning in primary activities of daily living (p-ADL). Higher score = higher level of independency,Barthel Index,,cont,positive,score,,,,,,,12,,mean,16,SD,4.2,,,
Evensen,2019b,2953,,,,1,,,,sex,,,,cat,,,female,,,7,,,12,,,,,,,,
Evensen,2019b,2953,,,,1,,,comorbidity,dementia,,,,cat,,,presence,,,7,,,12,,,,,,,,
Evensen,2019b,2953,,,,1,,,residential status,living in nursing home,,,,cat,,,presence,,,0,,,12,,,,,,,,
Evensen,2019b,2953,1,,,,,,,age,,,,cont,,years,,,,,,,27,,mean,85.5,SD,5.7,,,
Evensen,2019b,2953,1,,,,,,,BMI,,,,cont,,kg/m^2,,,,,,,27,,mean,24,SD,3.1,,,
Evensen,2019b,2953,1,,,,,,,cognition,"1 to 7. increasing score indicating more severe
cognitive impairment",Global Deterioration Scale,,cont,,score,,,,,,,27,,mean,4.5,SD,1.4,,,
Evensen,2019b,2953,1,,,,,,comorbidity,CIRS,0 to 56. Higher score = higher comorbidity,Cumulative Illness Rating Scale,,cont,,score,,,,,,,27,,mean,15.2,SD,4,,,
Evensen,2019b,2953,1,,,,,,risk score,APACHE II,"0 to 71.  measure of level of acute illness (0–71, increasing score indicating
more severe illness) ",APACHE II,,cont,,score,,,,,,,27,,mean,8.7,SD,2.3,,,
Evensen,2019b,2953,1,,,,,,functional status,ADL,p-ADL function (0 to 20). pre-hospital functioning in primary activities of daily living (p-ADL). Higher score = higher level of independency,Barthel Index,,cont,positive,score,,,,,,,27,,mean,15.6,SD,4,,,
Evensen,2019b,2953,1,,,,,,,sex,,,,cat,,,female,,,14,,,27,,,,,,,,
Evensen,2019b,2953,1,,,,,,comorbidity,dementia,,,,cat,,,presence,,,20,,,27,,,,,,,,
Evensen,2019b,2953,1,,,,,,residential status,living in nursing home,,,,cat,,,presence,,,3,,,27,,,,,,,,
Evensen,2019b,2953,,1,,,,,,age,,,,cont,,years,,,,,,,30,,mean,86.8,SD,4.6,,,
Evensen,2019b,2953,,1,,,,,,BMI,,,,cont,,kg/m^2,,,,,,,30,,mean,23.9,SD,3.6,,,
Evensen,2019b,2953,,1,,,,,,cognition,"1 to 7. increasing score indicating more severe
cognitive impairment",Global Deterioration Scale,,cont,,score,,,,,,,30,,mean,4.1,SD,1.3,,,
Evensen,2019b,2953,,1,,,,,comorbidity,CIRS,0 to 56. Higher score = higher comorbidity,Cumulative Illness Rating Scale,,cont,,score,,,,,,,30,,mean,14.8,SD,5.4,,,
Evensen,2019b,2953,,1,,,,,risk score,APACHE II,"0 to 71.  measure of level of acute illness (0–71, increasing score indicating
more severe illness) ",APACHE II,,cont,,score,,,,,,,30,,mean,10.1,SD,10.2,,,
Evensen,2019b,2953,,1,,,,,functional status,ADL,p-ADL function (0 to 20). pre-hospital functioning in primary activities of daily living (p-ADL). Higher score = higher level of independency,Barthel Index,,cont,positive,score,,,,,,,30,,mean,14.1,SD,4.7,,,
Evensen,2019b,2953,,1,,,,,,sex,,,,cat,,,female,,,15,,,30,,,,,,,,
Evensen,2019b,2953,,1,,,,,comorbidity,dementia,,,,cat,,,presence,,,23,,,30,,,,,,,,
Evensen,2019b,2953,,1,,,,,residential status,living in nursing home,,,,cat,,,presence,,,2,,,30,,,,,,,,
Evensen,2019b,2953,,,1,,,,,age,,,,cont,,years,,,,,,,24,,mean,88.3,SD,4.8,,,
Evensen,2019b,2953,,,1,,,,,BMI,,,,cont,,kg/m^2,,,,,,,24,,mean,23.1,SD,3.8,,,
Evensen,2019b,2953,,,1,,,,,cognition,"1 to 7. increasing score indicating more severe
cognitive impairment",Global Deterioration Scale,,cont,,score,,,,,,,24,,mean,4.2,SD,1.4,,,
Evensen,2019b,2953,,,1,,,,comorbidity,CIRS,0 to 56. Higher score = higher comorbidity,Cumulative Illness Rating Scale,,cont,,score,,,,,,,24,,mean,14.6,SD,5.4,,,
Evensen,2019b,2953,,,1,,,,risk score,APACHE II,"0 to 71.  measure of level of acute illness (0–71, increasing score indicating
more severe illness) ",APACHE II,,cont,,score,,,,,,,24,,mean,9.7,SD,2.4,,,
Evensen,2019b,2953,,,1,,,,functional status,ADL,p-ADL function (0 to 20). pre-hospital functioning in primary activities of daily living (p-ADL). Higher score = higher level of independency,Barthel Index,,cont,positive,score,,,,,,,24,,mean,14.4,SD,3.7,,,
Evensen,2019b,2953,,,1,,,,,sex,,,,cat,,,female,,,14,,,24,,,,,,,,
Evensen,2019b,2953,,,1,,,,comorbidity,dementia,,,,cat,,,presence,,,19,,,24,,,,,,,,
Evensen,2019b,2953,,,1,,,,residential status,living in nursing home,,,,cat,,,presence,,,2,,,24,,,,,,,,
Fialho Silva,2021,2907,,1,,,,,,sex,,,,cat,,,male,,,22,,,41,,,,,,,,
Fialho Silva,2021,2907,,1,,,,,,age,,,,cont,,years,,,,,,,41,,mean,67.6,SD,11.9,,,
Fialho Silva,2021,2907,,1,,,,,education,years of schooling,,,,cont,,years,,,,,,,41,,median,5,,,IQR,2.5,10
Fialho Silva,2021,2907,,1,,,,,medicine,polypharmacy,,Previous regular use of >=5 different medications,,cat,,,presence,,,12,,,41,,,,,,,,
Fialho Silva,2021,2907,,1,,,,,comorbidity,charlson,,Charlson Comorbidity Index,,cont,,score,,,,,,,41,,median,4,,,IQR,3,5
Fialho Silva,2021,2907,,1,,,,,,alcoholism,,Cut down; annoyed by criticism;  guilty; eye opener (CAGE),,cat,,,positive,,,13,,,41,,,,,,,,
Fialho Silva,2021,2907,1,,,,,,,sex,,,,cat,,,male,,,5,,,9,,,,,,,,
Fialho Silva,2021,2907,1,,,,,,,age,,,,cont,,years,,,,,,,9,,mean,64.4,SD,14.2,,,
Fialho Silva,2021,2907,1,,,,,,education,years of schooling,,,,cont,,years,,,,,,,9,,median,6,,,IQR,4,10
Fialho Silva,2021,2907,1,,,,,,medicine,polypharmacy,,Previous regular use of >=5 different medications,,cat,,,,,,1,,,9,,,,,,,,
Fialho Silva,2021,2907,1,,,,,,comorbidity,charlson,,Charlson Comorbidity Index,,cont,,score,,,,,,,9,,median,4,,,IQR,3,5
Fialho Silva,2021,2907,1,,,,,,,alcoholism,,Cut down; annoyed by criticism;  guilty; eye opener (CAGE),,cat,,,,,,2,,,9,,,,,,,,
Fialho Silva,2021,2907,,,1,,,,,sex,,,,cat,,,male,,,11,,,21,,,,,,,,
Fialho Silva,2021,2907,,,1,,,,,age,,,,cont,,years,,,,,,,21,,mean,70.3,SD,13.8,,,
Fialho Silva,2021,2907,,,1,,,,education,years of schooling,,,,cont,,years,,,,,,,21,,median,5,,,IQR,4,11
Fialho Silva,2021,2907,,,1,,,,medicine,polypharmacy,,Previous regular use of >=5 different medications,,cat,,,,,,3,,,21,,,,,,,,
Fialho Silva,2021,2907,,,1,,,,comorbidity,charlson,,Charlson Comorbidity Index,,cont,,score,,,,,,,21,,median,6,,,IQR,4,6
Fialho Silva,2021,2907,,,1,,,,,alcoholism,,Cut down; annoyed by criticism;  guilty; eye opener (CAGE),,cat,,,presence,,,6,,,21,,,,,,,,
Godfrey,2009,2557,1,,,,,,,age,,,,cont,,years,,,,,,,12,,mean,69.3,SD,12.9,,,
Godfrey,2009,2557,1,,,,,,,sex,,,,cat,,,male,,,7,,,12,,,,,,,,
Godfrey,2009,2557,1,,,,,,medicine,N medications,,,,cont,,,N,,,,,,12,,mean,11,SD,2.4,,,
Godfrey,2009,2557,1,,,,,,medicine,N psychotropic medications,,,,cont,,,N,,,,,,12,,mean,3.3,SD,1,,,
Godfrey,2009,2557,,1,,,,,,age,,,,cont,,years,,,,,,,4,,mean,69.5,SD,10.9,,,
Godfrey,2009,2557,,1,,,,,,sex,,,,cat,,,male,,,3,,,4,,,,,,,,
Godfrey,2009,2557,,1,,,,,medicine,N medications,,,,cont,,,N,,,,,,4,,mean,9.5,SD,3.3,,,
Godfrey,2009,2557,,1,,,,,medicine,N psychotropic medications,,,,cont,,,N,,,,,,4,,mean,3.3,SD,1,,,
Godfrey,2009,2557,,,1,,,,,age,,,,cont,,years,,,,,,,9,,mean,73.1,SD,9.5,,,
Godfrey,2009,2557,,,1,,,,,sex,,,,cat,,,male,,,6,,,9,,,,,,,,
Godfrey,2009,2557,,,1,,,,medicine,N medications,,,,cont,,,N,,,,,,9,,mean,12.2,SD,4.5,,,
Godfrey,2009,2557,,,1,,,,medicine,N psychotropic medications,,,,cont,,,N,,,,,,9,,mean,3.3,SD,1.1,,,
Glynn,2021,2567,,1,,,,,,age,,,,cont,,years,,,,,,,298,,mean,68.6,SD,18,,,
Glynn,2021,2567,,1,,,,,comorbidity,dementia,,"Dementia status was determined according to (1) a preexisting diagnosis, or (2) on the basis of detailed history and examination taking in aspects such as the patient’s functional ability, neuroimaging and cognitive decline prior to assessment and was made in accordance with DSM IV. Cognitive decline prior to assessment was assessed
using the Short Form of the Informant Questionnaire on Cognitive Decline in the Elderly (Short IQCODE),45 which was administered to the patient’s next of kin or main carer.",,cat,,,presence,,,82,,,298,,,,,,,,
Glynn,2021,2567,,1,,,,,,sex,,,,cat,,,male,,,159,,,298,,,,,,,,
Glynn,2021,2567,,,1,,,,,age,,,,cont,,years,,,,,,,426,,mean,55.5,SD,20.7,,,
Glynn,2021,2567,,,1,,,,comorbidity,dementia,,"Dementia status was determined according to (1) a preexisting diagnosis, or (2) on the basis of detailed history and examination taking in aspects such as the patient’s functional ability, neuroimaging and cognitive decline prior to assessment and was made in accordance with DSM IV. Cognitive decline prior to assessment was assessed
using the Short Form of the Informant Questionnaire on Cognitive Decline in the Elderly (Short IQCODE),45 which was administered to the patient’s next of kin or main carer.",,cat,,,presence,,,46,,,426,,,,,,,,
Glynn,2021,2567,,,1,,,,,sex,,,,cat,,,male,,,260,,,426,,,,,,,,
Glynn,2021,2567,1,,,,,,,age,,,,cont,,years,,,,,,,844,,mean,52.3,SD,19.3,,,
Glynn,2021,2567,1,,,,,,comorbidity,dementia,,"Dementia status was determined according to (1) a preexisting diagnosis, or (2) on the basis of detailed history and examination taking in aspects such as the patient’s functional ability, neuroimaging and cognitive decline prior to assessment and was made in accordance with DSM IV. Cognitive decline prior to assessment was assessed
using the Short Form of the Informant Questionnaire on Cognitive Decline in the Elderly (Short IQCODE),45 which was administered to the patient’s next of kin or main carer.",,cat,,,presence,,,82,,,844,,,,,,,,
Glynn,2021,2567,1,,,,,,,sex,,,,cat,,,male,,,594,,,844,,,,,,,,
Glynn,2021,2567,,,,1,,,,age,,,,cont,,years,,,,,,,189,,mean,68.6,SD,17.7,,,
Glynn,2021,2567,,,,1,,,comorbidity,dementia,,"Dementia status was determined according to (1) a preexisting diagnosis, or (2) on the basis of detailed history and examination taking in aspects such as the patient’s functional ability, neuroimaging and cognitive decline prior to assessment and was made in accordance with DSM IV. Cognitive decline prior to assessment was assessed
using the Short Form of the Informant Questionnaire on Cognitive Decline in the Elderly (Short IQCODE),45 which was administered to the patient’s next of kin or main carer.",,cat,,,presence,,,42,,,189,,,,,,,,
Glynn,2021,2567,,,,1,,,,sex,,,,cat,,,male,,,111,,,189,,,,,,,,
Grover,2014,3031,1,,,,,,,age,,,,cont,,years,,,,,,,161,,mean,47.59,SD,17.03,,,
Grover,2014,3031,1,,,,,,,sex,,,,cat,,,male,,,117,,,161,,,,,,,,
Grover,2014,3031,1,,,,,,comorbidity,psychiatric diagnosis,,† Psychiatric diagnosis in the whole group: Alcohol use 62 (19.3%); Psychotic illness 3 (0.9%); Mood disorder 5 (1.6%); Anxiety disorder 1 (0.3%).,,cat,,,presence,,,37,,,161,,,,,,,,
Grover,2014,3031,1,,,,,,comorbidity,dementia,,,,cat,,,presence,,,2,,,161,,,,,,,,
Grover,2014,3031,1,,,,,,medicine,N medications,,,,cont,,mean,,,,,,,161,,mean,3.98,SD,1.85,,,
Grover,2014,3031,,1,,,,,,age,,,,cont,,years,,,,,,,64,,mean,51.89,SD,17.74,,,
Grover,2014,3031,,1,,,,,,sex,,,,cat,,,male,,,45,,,64,,,,,,,,
Grover,2014,3031,,1,,,,,comorbidity,psychiatric diagnosis,,† Psychiatric diagnosis in the whole group: Alcohol use 62 (19.3%); Psychotic illness 3 (0.9%); Mood disorder 5 (1.6%); Anxiety disorder 1 (0.3%).,,cat,,,presence,,,10,,,64,,,,,,,,
Grover,2014,3031,,1,,,,,comorbidity,dementia,,,,cat,,,presence,,,3,,,64,,,,,,,,
Grover,2014,3031,,1,,,,,medicine,N medications,,,,cont,,mean,,,,,,,64,,mean,4.14,SD,2.18,,,
Grover,2014,3031,,,1,,,,,age,,,,cont,,years,,,,,,,79,,mean,48.05,SD,18.76,,,
Grover,2014,3031,,,1,,,,,sex,,,,cat,,,male,,,52,,,79,,,,,,,,
Grover,2014,3031,,,1,,,,comorbidity,psychiatric diagnosis,,† Psychiatric diagnosis in the whole group: Alcohol use 62 (19.3%); Psychotic illness 3 (0.9%); Mood disorder 5 (1.6%); Anxiety disorder 1 (0.3%).,,cat,,,presence,,,21,,,79,,,,,,,,
Grover,2014,3031,,,1,,,,comorbidity,dementia,,,,cat,,,presence,,,2,,,79,,,,,,,,
Grover,2014,3031,,,1,,,,medicine,N medications,,,,cont,,mean,,,,,,,79,,mean,3.75,SD,1.82,,,
Grover,2014,3031,,,,1,,,,age,,,,cont,,years,,,,,,,17,,mean,55.7,SD,15.8,,,
Grover,2014,3031,,,,1,,,,sex,,,,cat,,,male,,,14,,,17,,,,,,,,
Grover,2014,3031,,,,1,,,comorbidity,psychiatric diagnosis,,† Psychiatric diagnosis in the whole group: Alcohol use 62 (19.3%); Psychotic illness 3 (0.9%); Mood disorder 5 (1.6%); Anxiety disorder 1 (0.3%).,,cat,,,presence,,,3,,,17,,,,,,,,
Grover,2014,3031,,,,1,,,comorbidity,dementia,,,,cat,,,presence,,,1,,,17,,,,,,,,
Grover,2014,3031,,,,1,,,medicine,N medications,,,,cont,,mean,,,,,,,17,,mean,3.23,SD,1.39,,,
Gual,2018,72,1,,,,,,,age,,,,cont,,years,,,,,,,143,,mean,87.5,SD,6.2,,,
Gual,2018,72,1,,,,,,,sex,,,,cat,,,female,,,75,,,143,,,,,,,,
Gual,2018,72,1,,,,,,residential status,nursing home,,,,cat,,,presence,,,44,,,143,,,,,,,,
Gual,2018,72,1,,,,,,functional status,barthel,"0-100, dependency to autonomy",prior barthel,,cont,positive,score,,,,,,,143,,mean,52.4,SD,30.3,,,
Gual,2018,72,1,,,,,,,nutrition,,Mini Nutritional Assessment-Short Form,,cat,,,malnutrition,<8,,62,,,143,,,,,,,,
Gual,2018,72,1,,,,,,comorbidity,charlson,higher score = greater comorbidity,Charlson comorbidity index,,cont,,score,,,,,,,143,,mean,2.6,SD,1.6,,,
Gual,2018,72,1,,,,,,medicine,N drugs,,Number of usual drugs,,cont,,number,,,,,,,143,,mean,8,SD,3.5,,,
Gual,2018,72,1,,,,,,,previous hospitalisation,,Hospitalisations in the previous 6 months,,cat,,,presence,,,55,,,143,,,,,,,,
Gual,2018,72,1,,,,,,comorbidity,dementia,,history of dementia recorded in patient's medical hisotry (prior to admission),,cat,,,presence,,,101,,,143,,,,,,,,
Gual,2018,72,1,,,,,,comorbidity,diabetes mellitus,,,,cat,,,presence,,,39,,,143,,,,,,,,
Gual,2018,72,1,,,,,,comorbidity,hearth failure,,,,cat,,,presence,,,58,,,143,,,,,,,,
Gual,2018,72,1,,,,,,comorbidity,ischemic cardiomyopathy,,,,cat,,,presence,,,28,,,143,,,,,,,,
Gual,2018,72,1,,,,,,comorbidity,renal chronic disease,,,,cat,,,presence,,,36,,,143,,,,,,,,
Gual,2018,72,1,,,,,,comorbidity,chronic obstructive pulmonary disease,,,,cat,,,presence,,,42,,,143,,,,,,,,
Gual,2018,72,1,,,,,,comorbidity,cerebrovascular disease,,,,cat,,,presence,,,36,,,143,,,,,,,,
Gual,2018,72,,,1,,,,,age,,,,cont,,years,,,,,,,109,,mean,87.8,SD,5.4,,,
Gual,2018,72,,,1,,,,,sex,,,,cat,,,female,,,67,,,109,,,,,,,,
Gual,2018,72,,,1,,,,residential status,nursing home,,,,cat,,,presence,,,38,,,109,,,,,,,,
Gual,2018,72,,,1,,,,functional status,barthel,"0-100, dependency to autonomy",prior barthel,,cont,positive,score,,,,,,,109,,mean,46,SD,29.2,,,
Gual,2018,72,,,1,,,,,nutrition,,Mini Nutritional Assessment-Short Form,,cat,,,malnutrition,<8,,66,,,109,,,,,,,,
Gual,2018,72,,,1,,,,comorbidity,charlson,higher score = greater comorbidity,Charlson comorbidity index,,cont,,score,,,,,,,109,,mean,2.7,SD,1.5,,,
Gual,2018,72,,,1,,,,medicine,N drugs,,Number of usual drugs,,cont,,number,,,,,,,109,,mean,7.7,SD,3.6,,,
Gual,2018,72,,,1,,,,,previous hospitalisation,,Hospitalisations in the previous 6 months,,cat,,,presence,,,54,,,109,,,,,,,,
Gual,2018,72,,,1,,,,comorbidity,dementia,,history of dementia recorded in patient's medical hisotry (prior to admission),,cat,,,presence,,,74,,,109,,,,,,,,
Gual,2018,72,,,1,,,,comorbidity,diabetes mellitus,,,,cat,,,presence,,,30,,,109,,,,,,,,
Gual,2018,72,,,1,,,,comorbidity,hearth failure,,,,cat,,,presence,,,43,,,109,,,,,,,,
Gual,2018,72,,,1,,,,comorbidity,ischemic cardiomyopathy,,,,cat,,,presence,,,20,,,109,,,,,,,,
Gual,2018,72,,,1,,,,comorbidity,renal chronic disease,,,,cat,,,presence,,,30,,,109,,,,,,,,
Gual,2018,72,,,1,,,,comorbidity,chronic obstructive pulmonary disease,,,,cat,,,presence,,,27,,,109,,,,,,,,
Gual,2018,72,,,1,,,,comorbidity,cerebrovascular disease,,,,cat,,,presence,,,32,,,109,,,,,,,,
Gual,2018,72,,1,,,,,,age,,,,cont,,years,,,,,,,91,,mean,86.8,SD,6.3,,,
Gual,2018,72,,1,,,,,,sex,,,,cat,,,female,,,61,,,91,,,,,,,,
Gual,2018,72,,1,,,,,residential status,nursing home,,,,cat,,,presence,,,48,,,91,,,,,,,,
Gual,2018,72,,1,,,,,functional status,barthel,"0-100, dependency to autonomy",prior barthel,,cont,positive,score,,,,,,,91,,mean,24.9,SD,26.5,,,
Gual,2018,72,,1,,,,,,nutrition,,Mini Nutritional Assessment-Short Form,,cat,,,malnutrition,<8,,50,,,91,,,,,,,,
Gual,2018,72,,1,,,,,comorbidity,charlson,higher score = greater comorbidity,Charlson comorbidity index,,cont,,score,,,,,,,91,,mean,3.1,SD,1.7,,,
Gual,2018,72,,1,,,,,medicine,N drugs,,Number of usual drugs,,cont,,number,,,,,,,91,,mean,8.3,SD,4,,,
Gual,2018,72,,1,,,,,,previous hospitalisation,,Hospitalisations in the previous 6 months,,cat,,,presence,,,42,,,91,,,,,,,,
Gual,2018,72,,1,,,,,comorbidity,dementia,,history of dementia recorded in patient's medical hisotry (prior to admission),,cat,,,presence,,,79,,,91,,,,,,,,
Gual,2018,72,,1,,,,,comorbidity,diabetes mellitus,,,,cat,,,presence,,,31,,,91,,,,,,,,
Gual,2018,72,,1,,,,,comorbidity,heart failure,,,,cat,,,presence,,,27,,,91,,,,,,,,
Gual,2018,72,,1,,,,,comorbidity,ischemic cardiomyopathy,,,,cat,,,presence,,,15,,,91,,,,,,,,
Gual,2018,72,,1,,,,,comorbidity,renal chronic disease,,,,cat,,,presence,,,23,,,91,,,,,,,,
